,Language,Parameter,State_1,Certainty_1,Reference_1,Comments_1,State_2,Certainty_2,Reference_2,Comments_2
17,Arapaho,NomAlign,ergativo-absolutivo,1,Salzmann (1963:92),"La lengua codifica las funciones s¿de S, A y P en el verbo. En ese sentido no sería muy  preciso decir que los nombres presentan un alineamiento de tipo ergativo: lo que ocurre es que las marcas de concordancia en el verbo para S y P son idénticas en oposición a la marca de A solo para el caso de los nombres inanimados. En el caso de los animados se encuentra un alineamiento neutro: todas las formas son idénticas.",Jerárquico,1,Este alineamiento jerárquico se da únicamente para los nombres transitivos animados. Los Transitivos inanimados solo marcan los argumentos con sufijos de trancisión que no presentan correspondencia con las formas intransitivas. ,Las relaciones gramaticales se marcan en el nombre
18,Arapaho,TA_marks,3,1,Salzmann (1963:134),"Pasado narrativo, futuro.",5,2,Cowell (2008:265),Tres de tiempo y dos de aspecto: perfectivo e imperfectivo. 
19,Arapaho,Evid,0,,,,0,2,Cowell (2008:93),
20,Arapaho,Questions,1,2,Salzmann (1963:111),,1,2,Cowell (2008:107),
21,Arapaho,MorphCaus,1,1,Salzmann (1963:132),,1,2,Cowell (2008:156),
22,Arapaho,Tones,0,,,,0,,,
23,Arapaho,Consonants,12,2,Salzmann (1963:9),,12,2,Cowell (2008:14),
24,Arapaho,Vowels,4,2,Salzmann (1963:12),,4,2,Cowell (2008:14),Hay realizaciones breves y largas.
25,Arapaho,NasVowels,0,,,,0,,,
26,Arapaho,AdjN,Adj N ,1,,Injferencia a partir de ejemplos,Adj N ,2,Cowell (2008:324),
27,Arapaho,GenN,GEN N ,2,Salzmann (1963:157),,GEN N ,2,Cowell (2008:60),
28,Arapaho,BasicWO,no hay orden básico,1,,Inferencia a partir de ejemplos.,no hay orden básico,2,Cowell (2008:408),El orden parece estar en función a la saliencia pragmática de cada uno de los constituyentes. 
29,Arapaho,,1,1,Salzmann (1963:92),,1,2,Cowell (2008:59),
30,Arapaho,NP_Agr,0,1,,Datos insuficientes.,1,1,,La lengua no presenta adjetivos. 
31,Bardi,Pron1P,7,1,Metcalfe (1975:72/123),Formas libres  y ligadas,7,2,Bowern (2012:396),Se incluyen las formas libres y ligadas. Para las últimas se considera la diferencia entre aumentativo (tipo de plural) y mínimo. 
32,Bardi,Pron2P,4,1,Metcalfe (1975:72),Formas libres  y ligadas,7,2,Bowern (2012:396),
33,Bardi,Pron3P,4,1,Metcalfe (1975:72),Formas libres  y ligadas,6,2,Bowern (2012:396),
34,Bardi,Cases,4,1,Metcalfe (1975:72),,14,2,Bowern (2012:195-230),
35,Bardi,Dem,nan,,,,13,2,Bowern (2012:195-322),
36,Bardi,NumClass,1,2,Metcalfe (1975:186),,1,,,
37,Bardi,GenClass,0,,,,0,,,
38,Bardi,NounClass,1,2,Metcalfe (1975:123),,1,2,Bowern (2012:754),
39,Bardi,InstrCom,1,2,Metcalfe (1975:18),,1,2,Bowern (2012:211/242),
40,Bardi,Poss,nan,,,,1,2,Bowern (2012:153),
41,Bardi,LocDir,1,2,Metcalfe (1975:189),,1,2,Bowern (2012:211/237),
42,Bardi,TempLoc,nan,,,,nan,,,
43,Bardi,DitransMarking,nan,,,,0,2,Bowern (2012:211/370),No hay verbos propiamente ditransitivos. Los verbos como 'dar' y 'mostrar' solo marcan un argumento. 
44,Bardi,CA_case,1,2,Metcalfe (1975:82),,1,2,Bowern (2012:195-196),
45,Bardi,CA_head,nan,,,,0,2,Bowern (2012:195-196),
46,Bardi,CA_wordorder,1,,,,0,2,Bowern (2012:195-196),
47,Bardi,PronAlign,ergativo-absolutivo,2,Metcalfe (1975:82),"Aunque en algun punto de la gramática menciona que los pronombres no llevan marca de caso, los ejemplos muestran la misma forma de  ergativo.",ergativo-absolutivo,2,Bowern (2012:195-196),"Ergativo -nim, Absolutivo no marcado."
48,Bardi,NomAlign,ergativo-absolutivo,2,Metcalfe (1975:82),,ergativo-absolutivo,2,Bowern (2012:195-196),"Ergativo -nim, Absolutivo no marcado."
49,Bardi,TA_marks,6,2,Metcalfe (1975:82),Se consideran los sufijos listados en el afijario. No necesariamente todos presentan un tratamiento en la gramática. ,6,2,Bowern (2012:195-436),
50,Bardi,Evid,nan,,,No se menciona la categoría de evidencialidad.,nan,,,
51,Bardi,Questions,1,2,Metcalfe (1975:184),,1,,Bowern (2012:617),
52,Bardi,MorphCaus,1,2,Metcalfe (1975:70),,1,2,Bowern (2012:204),
53,Bardi,Tones,0,,,,0,,,
54,Bardi,Consonants,17,2,Metcalfe (1975:17),,17,2,Bowern (2012:71),
55,Bardi,Vowels,7,2,Metcalfe (1975:17),Se incluyen las vocales largas.,7,2,Bowern (2012:71),
56,Bardi,NasVowels,0,,,,0,,,
57,Bardi,AdjN,Adj N ,1,Metcalfe (1975:117), No concluyente.Inferencia a partiir de ejemplos.,ambos,2,Bowern (2012:335),Aunque a veces se prohibe y juzga como agramatical el orden  N ADJ
58,Bardi,GenN,nan,,,Datos insuficientes,ambos,2,Inferencia a partir de ejemplos.,
59,Bardi,BasicWO,VSO ,2,Metcalfe (1975:),,no hay orden básico,2,Bowern (2012:165),
60,Bardi,,0,1,,Inferencia a ppartir de ejemplos.,1,2,Bowern (2012:370),
61,Bardi,,0,1,,datos poco claros,0,2,Bowern (2012:158),
62,Chontal,Pron1P,2,1,Waterhause (1967:357),"El autor sostiene que en cuanto a la primera persona plural, la presencia de ese pronombre codifica exclusión mientras que su ausencia codifica inclusión. ",4,2,O'connor (2004:46),Se marcan dos formas por cada persona (tanto singular como plural): una agentiva y otra pacientiva. 
63,Chontal,Pron2P,2,1,Waterhause (1967:357),Singular y plural.,4,2,O'connor (2004:46),Se marcan dos formas por cada persona (tanto singular como plural): una agentiva y otra pacientiva. 
64,Chontal,Pron3P,0,,Waterhause (1967:357),La tercera persona se codifica con deícticos tanto singulares como plulrales. ,0,2,O'connor (2004:46),No haya marcas pronominales de tercera persona. 
65,Chontal,Cases,0,,Waterhause (1967:356-358),,0,,O'connor (2004:98),No hay marcación de caso.
66,Chontal,Dem,8,1,Waterhause (1967:357),Se consigna a los deícticos como compuestos por dos partes. Aparentan ser cicunfijos. Estos deícticos tienen funciones pronominales. ,8,1,O'connor (2004:68),"Según la autora, los demostrativos forman parte del inventario de clíticos. "
67,Chontal,NumClass,1,1,Waterhause (1967:357-358),,1,2,O'connor (2004:43),"Se consignan diversas estrategias pluralizadoras: infijación, acento, sufijación, etc. "
68,Chontal,GenClass,0,1,,,0,1,,
69,Chontal,NounClass,0,1,,,0,1,,"El género suele ser léxico. A veces se usan los lexemas""hombre"" y ""mujer"" para especificar género pero no existe un mrofema dedicado a femenino, masculino o neutro. "
70,Chontal,InstrCom,nan,,,,nan,,,
71,Chontal,Poss,0,1,Waterhause (1967:357),,0,2,O'connor (2004:40),
72,Chontal,LocDir,1,1,Waterhause (1967:359),,1,2,O'connor (2004:64),
73,Chontal,TempLoc,1,1,Waterhause (1967:358),,1,2,O'connor (2004:68),
74,Chontal,DitransMarking,nan,,,,0,1,O'connor (2004:47),
75,Chontal,CA_case,nan,,,,nan,,,
76,Chontal,CA_head,1,,Waterhause (1967:354),,nan,,,
77,Chontal,CA_wordorder,nan,,,,0,,,El orden de palabras es libre. 
78,Chontal,PronAlign,nominativo-acusativo,1,Waterhause (1967:354),,activo-inactivo,2,O'connor (2004:74),"Según la autora, el contraste entre acción-inacción (agentivo/pacientivo) da forma a la gramática y su diferenciación codifica a los participantes de la cláusula. "
79,Chontal,NomAlign,nominativo-acusativo,1,Waterhause (1967:354),"Si bien no se marcan los core cases ni los oblicuos, en la página referida, el autor sostiene que los verbos intransitivos ""no marcan agente"" mientras que los transitivos ""no marcan el sujeto pero si amrcan el objeto""",activo-inactivo,,,
80,Chontal,TA_marks,6,1,Waterhause (1967:356),6 aspectuales. No se consigna tiempo.,13,2,O'connor (2004:51-53),"5 clases de aspecto, 4 con dos morfemas cada una (sing vs pl). El estativo presenta cinco marcas diferentes. No existen marcadores de tiempo. Dicha categoría se codifica adverbialmente. "
81,Chontal,Evid,0,1,Waterhause (1967:356),No se consignan,1,1,O'connor (2004:82),"No existen formas dedicadas específicamente a la evidencialidad. Sin embargo, la lengua utiliza los verbos auxiliares en primera persona del perfectivo para codificar certeza de la información brindada. "
82,Chontal,Questions,SÍ,1,Waterhause (1967:361),Morfológicamente.,NO,1,O'connor (2004:88),Las formas funcionan como bases: palabras interrogativas. 
83,Chontal,MorphCaus,0,1,Waterhause (1967:361),Léxicamente,1,2,O'connor (2004:55-56),
84,Chontal,Tones,2,1,Waterhause (1967:352),,0,1,O'connor (2004:35-37),
85,Chontal,Consonants,35,2,Waterhause (1967:351),,42,2,O'connor (2004:35-36),La autora considera variaciones dialectales. La descripción anterior es de solo una variedad.
86,Chontal,Vowels,5,2,Waterhause (1967:351),,5,2,O'connor (2004:35-36),La autora considera vocales largas pero no les asigna valor fonológico.
87,Chontal,NasVowels,0,2,Waterhause (1967:351),,0,2,O'connor (2004:35-36),
88,Chontal,AdjN,ambos,1,,,Adj N ,2,O'connor (2004:71),"Adjectives ""usually"" precede the modified noun."
89,Chontal,GenN,GEN N ,1,Waterhause (1967:357),,GEN N ,2,O'connor (2004:57),
90,Chontal,BasicWO,no hay orden básico,2,Waterhause (1967:357),,no hay orden básico,2,O'connor (2004:1),
91,Chontal,,1,1,Waterhause (1967:355),El verbo puede llevar marca de objeto indirecto. ,1,2,O'connor (2004:71),
92,Chontal,NP_Agr,0,1,,,0,2,O'connor (2004:72),
93,Kalispel,Pron1P,2,2,Vogt (1940:27),Estas formas pueden ser libres y funcionar como pronombres o ligadas y funcionar como flexiones verbales.,6,1,Speck (1977:125),"Es necesario mencionar que si bien este texto es producido en 1977, se trata de una reedición de una gramática hecha or un misionero en 1904. Se le está considerando como G2 por el hecho de ser una versión crítica que incorpora relecturas de los datos y datos nuevos."
94,Kalispel,Pron2P,2,2,Vogt (1940:27),Estas formas pueden ser libres y funcionar como pronombres o ligadas y funcionar como flexiones verbales.,6,1,Speck (1977:125),Formas libres y flexivas. 
95,Kalispel,Pron3P,2,2,Vogt (1940:27),Estas formas pueden ser libres y funcionar como pronombres o ligadas y funcionar como flexiones verbales.,2,1,Speck (1977:125),Formas libres y flexivas. 
96,Kalispel,Cases,6,1,Vogt (1940:68),"El caso parece expresarse mediante preposiciones. Los casos no son mencionados literalmente. Sin emabrgo, se puede inferir la función a partir de las explicaciones. ",7,1,Speck (1977:37),"Nominativo, causativo, locativo, instrumental, direccional, acusativo y benefactivo. "
97,Kalispel,Dem,4,1,,Las  formas parecen diferenciar la cercanía del objeto con el hablante. ,5,1,Speck (1977:6),
98,Kalispel,NumClass,1,2,Vogt (1940:50),,1,,Speck (1977:73),
99,Kalispel,GenClass,0,,,,0,,,
100,Kalispel,NounClass,0,,,,0,,,
101,Kalispel,InstrCom,1,1,Vogt (1940:50),,1,,,
102,Kalispel,Poss,nan,,,,nan,,,
103,Kalispel,LocDir,1,2,Vogt (1940:66),,1,2,Speck (1977:66),
104,Kalispel,TempLoc,1,1,Vogt (1940:71),,nan,,,
105,Kalispel,DitransMarking,nan,,,,nan,,,
106,Kalispel,CA_case,nan,,,,nan,,,
107,Kalispel,CA_head,1,1,Vogt (1940:31),Los argumentos se marcan solo en una determinada clase dde verbos. ,1,2,,
108,Kalispel,CA_wordorder,1,,,,nan,,,
109,Kalispel,PronAlign,nan,,,,nan,,,No conluyente.
110,Kalispel,NomAlign,nominativo-acusativo,1,Vogt (1940:36),Inferencia a partir de paradigmas verbales de marcación de caso. Datos de ninguna manera concluyentes.,tripartito,1,Speck (1977:38),Datos no conclusivos.
111,Kalispel,TA_marks,4,1,Vogt (1940:29),Solo marcas de aspecto. ,8,2,Speck (1977:76),
112,Kalispel,Evid,nan,,,,nan,,,
113,Kalispel,Questions,1,2,Vogt (1940:71),,1,2,Speck (1977:106),
114,Kalispel,MorphCaus,1,2,Vogt (1940:59),,nan,,,
115,Kalispel,Tones,0,,,,0,,,
116,Kalispel,Consonants,33,1,Vogt (1940:12),,13,2,Speck (1977:11),
117,Kalispel,Vowels,6,1,Vogt (1940:14),,22,2,Speck (1977:22),
118,Kalispel,NasVowels,0,,,,0,,,
119,Kalispel,AdjN,Adj N ,1,No concluyente.,,ambos,1,Inferencia a partir de ejemplos.,
120,Kalispel,GenN,GEN N ,2,Vogt (1940:78),,GEN N ,1,Inferencia a partir de ejemplos,
121,Kalispel,BasicWO,VSO ,1,Vogt (1940:78),,no hay orden básico,1,Inferencia a partir de ejemplos,
122,Kalispel,,1,1,Vogt (1940:31),,1,2,Speck (1977:64),
123,Kalispel,,0,1,La información no es clara. ,,0,1,No se mencionan aspectos sobre la concordancia nombre-adjetivo.,
124,Karok,Pron1P,2,1,Bright (1957:60),Inferencia a partir de ejemplos. No  se presenta el sistema pronominal claramente. Solo se presentan morfemas de trancisión sin especificar las formas.,2,2,Halpern (1997:25),
125,Karok,Pron2P,2,1,Bright (1957:60),Inferencia a partir de ejemplos. No  se presenta el sistema pronominal claramente. Solo se presentan morfemas de trancisión sin especificar las formas.,2,2,Halpern (1997:25),
126,Karok,Pron3P,2,1,Bright (1957:60),Inferencia a partir de ejemplos. No  se presenta el sistema pronominal claramente. Solo se presentan morfemas de trancisión sin especificar las formas.,3,2,Halpern (1997:25),
127,Karok,Cases,6,1,Bright (1957: 150-53),,5,1,Halpern (1997:26),Las traducciones no son tan precisas.
128,Karok,Dem,30,1,Bright (1957: 95),,3,2,Halpern (1997:25),"""Their use ins not fully understood"""
129,Karok,NumClass,1,2,Bright (1957: 150),"Singular, plural y dual",1,1,Halpern (1997:25),Parece haberse perdido la forma dual.
130,Karok,GenClass,1,1,Bright (1957: 45),,1,1,Halpern (1997:25),
131,Karok,NounClass,1,1,Bright (1957: 70),,0,1,Halpern (1997:34),
132,Karok,InstrCom,1,,Bright (1957: 150),,0,1,Halpern (1997:25),
133,Karok,Poss,nan,,,,nan,,,
134,Karok,LocDir,1,1,Bright (1957: 75),,1,2,Halpern (1997:26),
135,Karok,TempLoc,1,1,Bright (1957: 150),Clítico de LOC.TEMP,1,2,Halpern (1997:26),
136,Karok,DitransMarking,nan,,,,nan,,,
137,Karok,CA_case,nan,,,,nan,,,
138,Karok,CA_head,1,1,Bright (1957),Inferencia a partir de los ejemplos. ,1,,Inferencia a partir de los ejemplos. ,
139,Karok,CA_wordorder,nan,,,,1,,,
140,Karok,PronAlign,nominativo-acusativo,1,,,nominativo-acusativo,1,Halpern (1997:26),"""Object always remains unmarked (…) subject of transitivies and intransitives clauses are treated equally"""
141,Karok,NomAlign,nominativo-acusativo,1,,,nominativo-acusativo,1,Halpern (1997:26),"""Object always remains unmarked (…) subject of transitivies and intransitives clauses are treated equally"""
142,Karok,TA_marks,14,1,Bright (1957:152),,7,1,Halpern (1997:26),
143,Karok,Evid,0,,,,5,1,Halpern (1997:26),"Si bien solo se consigna una forma como propiamente evidencial, he considerado marcas glosdas como 'truly'. No he considerado la marca de irrealis. "
144,Karok,Questions,0,1,Bright (1957:152),Sin embargo la descripción posterior si consigna interrogativo.,1,2,Halpern (1997:26),Se consigna un interrogativo.
145,Karok,MorphCaus,1,2,Bright (1957:75/109),,1,1,Halpern (1997:171),
146,Karok,Tones,0,1,Bright (1957:16),Solo fenómenos de entonación.,0,2,Halpern (1997:24),
147,Karok,Consonants,16,2,Bright (1957:7),,24,2,Halpern (1997:24),
148,Karok,Vowels,8,2,Bright (1957:7),,10,1,Halpern (1997:24),
149,Karok,NasVowels,0,2,Bright (1957:7),,0,1,Halpern (1997:24),
150,Karok,AdjN,N Adj ,1,Bright (1957:69),,N Adj ,2,Halpern (1997:31),
151,Karok,GenN,GEN N ,1,Bright (1957:49),,GEN N ,2,Halpern (1997:25),
152,Karok,BasicWO,no hay orden básico,2,Bright (1957:141),,SOV ,2,Halpern (1997:29),
153,Karok,,1,2,Bright (1957:64),,1,2,Halpern (1997:25),
154,Karok,,1,1,Bright (1957:69),Los adjetivos son nombres en funciones adjetivales por lo que toman la misma morfología del nombre al que modifican. ,1,1,Halpern (1997:29),Concuerda en caso. 
155,Kokama,Pron1P,6,2,Fasut (1972:27),"Formas largas y cortas para singular, plural exclusiva y plural inclusiva.",13,2,Vallejos (2016:149),Formas libres y clíticos. Distinción entre habla femenina y masculina. 
156,Kokama,Pron2P,4,2,Fasut (1972:27),Formas largas y cortas para singular y plural.,10,2,Vallejos (2016:149),Formas libres y clíticos. Distinción entre habla femenina y masculina. 
157,Kokama,Pron3P,5,2,Fasut (1972:27),Formas largas y cortas.,10,2,Vallejos (2016:149),
158,Kokama,Cases,0,2,,No existe marcación de caso. Se utilizan complementos semánticamente marcados con órdenes de palabra específicos.,10,2,Vallejos (2016:319),Todos oblicuos marcados con posposiciones.
159,Kokama,Dem,13,1,Fasut (1972:1556-162),Se consignan formas de habla masculina y femenina aunque con mismo significado. ,15,2,Vallejos (2016:170),"Se consignan todas las formas recogidas por Vallejo. Sin embargo, muchas de ellas son formas derivadas. "
160,Kokama,NumClass,1,2,Fasut (1972:68),Singular Vs Plural,1,2,Vallejos (2016:181),
161,Kokama,GenClass,0,,,,0,,,
162,Kokama,NounClass,0,,,Sin embargo hay habla femenina y habla masculina. ,0,2,Vallejos (2016:181),"Sin embargo, hay distinción entre habla masculina y femenina. "
163,Kokama,InstrCom,1,,Fasut (1972:50),,1,2,Vallejos (2016:292-299),
164,Kokama,Poss,0,,,,1,1,Vallejos (2016:164),
165,Kokama,LocDir,1,2,Fasut (1972:11),,1,2,Vallejos (2016:307),Locativo vs Alativo. 
166,Kokama,TempLoc,1,1,Fasut (1972:74/138),,nan,1,,
167,Kokama,DitransMarking,nan,,,,1,2,Vallejos (2016:272),recipiente' y 'meta' se marcan con dativo y locativo respectivamente. 
168,Kokama,CA_case,nan,,,,0,2,Vallejos (2016:28),
169,Kokama,CA_head,nan,,,,0,2,Vallejos (2016:28),
170,Kokama,CA_wordorder,1,,,,1,2,Vallejos (2016:28),
171,Kokama,PronAlign,nan,,,No hay marcación de caso.,nan,2,Vallejos (2016:118),No hay marcación de core cases en el nombre.
172,Kokama,NomAlign,nan,,,"Los pronombres, como los nombres, no presentan marcación de caso. ",nominativo-acusativo,1,Vallejos (2016:118),Se encuentran algunos patrones ergativos. 
173,Kokama,TA_marks,4,1,Fasut (1972:45),"Faust afirma que el aspecto se obtiene a partir de verbos auxiliares. Sin embargo, Vallejos consigna muchos más sufijos. Debe considerarse que el texto de Faust no es una gramática sino más bien un conjunto de lecciones de aprendizaje. ",8,2,Vallejos (2016:389),5 de tiempo y 3 de aspecto
174,Kokama,Evid,nan,,,,4,2,Vallejos (2016:401),"Vallejos sostiene que las marcas son modales pero cumplen funciones de evidencialidad. 'certeza', 'inferencia' e 'información personal'"
175,Kokama,Questions,1,2,Fasut (1972:21),,1,2,Vallejos (2016:425),
176,Kokama,MorphCaus,1,2,Fasut (1972:109),,1,2,Vallejos (2016:610),
177,Kokama,Tones,0,,Fasut (1972:145),,0,,,
178,Kokama,Consonants,17,1,Fasut (1972:145),No se consignan fonemas sino 'letras',11,2,Vallejos (2016:40),
179,Kokama,Vowels,6,1,Fasut (1972:145),,5,2,Vallejos (2016:51),
180,Kokama,NasVowels,0,,Fasut (1972:145),,0,,,
181,Kokama,AdjN,ambos,2,Fasut (1972:35),,ambos,2,Vallejos (2016:262),
182,Kokama,GenN,GEN N ,2,Fasut (1972:51),,GEN N ,2,Vallejos (2016:152),
183,Kokama,BasicWO,no hay orden básico,2,Fasut (1972:32),"Dado que la lengua no tiene marcas de caso ni en los nombres ni en el verbo, el orden de palabras es crucial para dientificar los roles en la oración. El orden de los constituyentes varía en función a la semántica del verbo. No existe un orden fijo.",no hay orden básico,2,Vallejos (2016:596),"No hay un orden fijo. Sin embargo, el orden no es libre. Está condicionado por el requerimiento de marcación de argumentos del verbo."
184,Kokama,,1,1,Fasut (1972:78),,0,2,Vallejos (2016:28),
185,Kokama,,0,1,Fasut (1972:35),La lengua no tiene adjetivos propiamente dichos. La función adjetival la cumplen algunos nombres. Estos no llevan marca de concordancia con el nombre. ,0,2,Vallejos (2016:116),La lengua no tiene adjetivos.
186,Lepcha,Pron1P,3,2,Mainwaring (1876:33-34),"Singular, dual y plural. ",3,2,Plaiser (2003:711),"Singular, dual y plural. "
187,Lepcha,Pron2P,3,2,Mainwaring (1876:33-34),"Singular, dual y plural. ",3,2,Plaiser (2003:711),"Singular, dual y plural. "
188,Lepcha,Pron3P,3,2,Mainwaring (1876:35),"Singular, dual y plural. ",3,2,Plaiser (2003:711),"Singular, dual y plural. "
189,Lepcha,Cases,6,1,Mainwaring (1876:28),"El autor afirma que los casos nominativo y ""objetivo"" (posiblemente P) permanecen no marcados. Las formas morfológicas con las que se asignan los casos instrumental, dativo, acusativo y vocativo son referidos como preposiciones.  Aparentemente también hay una marca genitiva en los pronombres. Sin embargo, este caso no es consignado en la lista de casos nominales. ",7,2,Plaiser (2003:709-711),"La lengua presenta seis sufijos de caso: LOC,ABL,NOM,GEN,DAT, INST y COM. Los sufijos  de ablativo y genitivo son polifuncionales. Su significado varía en función a la semántica del nombre al que se le sufija. "
190,Lepcha,Dem,2,1,Mainwaring (1876:43),Dos demostrativos básicos que se pueden presentar flexión de caso. ,14,2,Plaiser (2003:712),
191,Lepcha,NumClass,1,2,Mainwaring (1876:27),"Singular, dual y plural.",1,2,Plaiser (2003:708),Plaiser especifica que no ha encontrado el Dual. Aparente simplificación. 
192,Lepcha,GenClass,0,,,,1,1,Plaiser (2003:710),
193,Lepcha,NounClass,1,2,Mainwaring (1876:24),,0,2,Plaiser (2003:707),
194,Lepcha,InstrCom,1,1,Mainwaring (1876:32),No se encuentra una marca específica para el comitativo.,1,2,Plaiser (2003:711),El comitativo y el genitivo (que tiene usos instrumentales) alternan mas o menos libremente. 
195,Lepcha,Poss,nan,,,,nan,,,
196,Lepcha,LocDir,0,,Mainwaring (1876:28),No se encuentra una marca específica para el direccional.,0,2,Plaiser (2003:711),
197,Lepcha,TempLoc,nan,,,Datos insuficientes. ,1,1,Plaiser (2003:712),El locativo temporal se puede marcar con el ablativo. 
198,Lepcha,DitransMarking,nan,,,Datos insuficientes. ,nan,,,
199,Lepcha,CA_case,nan,,,La gramática no presenta ni los datos ni la legibilidad suficiente para extraer información sobre relaciones gramaticales. ,1,1,Plaiser (2003),Inferencia a partir de los ejemplos del texto. 
200,Lepcha,CA_head,nan,,,La gramática no presenta ni los datos ni la legibilidad suficiente para extraer información sobre relaciones gramaticales. ,0,1,Plaiser (2003),Inferencia a partir de los ejemplos del texto. 
201,Lepcha,CA_wordorder,1,,,La gramática no presenta ni los datos ni la legibilidad suficiente para extraer información sobre relaciones gramaticales. ,1,1,Plaiser (2003),Inferencia a partir de los ejemplos del texto. 
202,Lepcha,PronAlign,nan,,,La gramática no presenta ni los datos ni la legibilidad suficiente para extraer información sobre relaciones gramaticales. ,nan,,,
203,Lepcha,NomAlign,nan,,,La gramática no presenta ni los datos ni la legibilidad suficiente para extraer información sobre relaciones gramaticales. ,ergativo-absolutivo,1,Plaiser (2003),"Inferencia a partir de ejemplos. Además, el ablativo se consigna a veces de función ergativa. "
204,Lepcha,TA_marks,11,1,Mainwaring (1876:44-49),"La forma indicativa del presente se marca con un verbo auxiliar de quietud. La lengua presenta marcas diferenciadas para indicativo, subjuntivo y participio. Tres en el primer modo (presente, pasado y futuro), tres en el segundo (presente, pasado y futuro) y cinco en el tercero (presente, pasado y tres formas de futuro). Cada forma es morfológicamente distinta por lo que se consideran 11 marcas morfológicas. ",4,1,Plaiser (2003:713),El tiempo y el aspecto pueden marcarse con verbos auxiliares afijados. 
205,Lepcha,Evid,0,,,La gramática no presenta ni los datos ni la legibilidad suficiente para extraer información sobre relaciones gramaticales. ,nan,,,
206,Lepcha,Questions,1,1,Mainwaring (1876:44-42),,1,2,Plaiser (2003:712),Se usan partículas interrogativas. 
207,Lepcha,MorphCaus,0,2,Mainwaring (1876:93),La causación se marca con verbos independientes causativos. ,nan,,,
208,Lepcha,Tones,0,,,Aparentemente es una lengua sin tono sin embargo hay una notable cantidad de diacríticos.,0,1,Plaiser (2003:706),
209,Lepcha,Consonants,35,1,Mainwaring (1876:26),,32,2,Plaiser (2003:706),
210,Lepcha,Vowels,8,2,Mainwaring (1876:27),,8,2,Plaiser (2003:706),
211,Lepcha,NasVowels,0,1,Mainwaring (1876:26),"Podrían, sin embargo, ser solo cuatro. La descripción es sumamente confusa.",0,2,Plaiser (2003:706),
212,Lepcha,AdjN,N Adj ,2,Mainwaring (1876:31),,Adj N ,1,Plaiser (2003),Inferencia a partir de los ejemplos del texto. 
213,Lepcha,GenN,GEN N ,1,Mainwaring (1876:121),,GEN N ,2,Plaiser (2003:710),
214,Lepcha,BasicWO,SOV ,2,Mainwaring (1876:119),,SOV ,2,Plaiser (2003),Inferencia a partir de los ejemplos del texto. 
215,Lepcha,,0,1,Mainwaring (1876:44),Verbs do not take declension of gender or number'. No hay información suficiente para establecer concordancia argumental.,0,2,Plaiser (2003:712),
