1,Language_ID,Parameter_ID,Value,Certainty,Comment,Source,Year
107,Bardi,Pron1P,7,2,Free and bound forms; the latter have number distinctions – Se incluyen las formas libres y ligadas. Para las últimas se considera la diferencia entre aumentativo (tipo de plural) y mínimo.,bardi2012[396],2012
108,Bardi,Pron2P,4,1,free and bound forms – Formas libres  y ligadas,bardi1975[72],1975
109,Bardi,Pron2P,7,2,,bardi2012[396],2012
110,Bardi,Pron3P,4,1,free and bound forms – Formas libres  y ligadas,bardi1975[72],1975
111,Bardi,Pron3P,6,2,,bardi2012[396],2012
112,Bardi,PronAlign,ergative-absolutive,2,Author stats that pronouns are not marked. The examples clearly show ergative markers on them,bardi1975[82],1975
113,Bardi,PronAlign,ergative-absolutive,2,Ergative -nim – Absolutive not marked.,bardi2012[195-196],2012
114,Bardi,Questions,1,2,,bardi1975[184],1975
115,Bardi,Questions,1,NA,,bardi2012[617],2012
116,Bardi,TA_marks,6,2,Only suffixes listed in affix-list are considered - not all are discussed in the grammar – Se consideran los sufijos listados en el afijario. No necesariamente todos presentan un tratamiento en la gramática.,bardi1975[82],1975
117,Bardi,TA_marks,6,2,,bardi2012[195-436],2012
118,Bardi,TempLoc,NA,NA,,bardi1975,1975
119,Bardi,TempLoc,NA,NA,,bardi2012,2012
120,Bardi,Tones,0,NA,,bardi1975,1975
121,Bardi,Tones,0,NA,,bardi2012,2012
122,Bardi,VP_Agr,0,1,Inference based on examples – Inferencia a partir de ejemplos.,bardi1975,1975
123,Bardi,VP_Agr,1,2,,bardi2012[370],2012
124,Bardi,Vowels,7,2,Long vowels are included – Se incluyen las vocales largas.,bardi1975[17],1975
125,Bardi,Vowels,7,2,,bardi2012[71],2012
126,Baure,AdjN,both,2,,baure2007[104],2007
127,Baure,AdjN,NA,NA,,baure1880,1880
128,Baure,BasicWO,VSO,2,"Changes in narrations to VOS with human arguments – En narrativa, cambia a VOS cuando hay un argumento humano o inanimado",baure2007[333],2007
129,Baure,BasicWO,NA,NA,,baure1880,1880
130,Baure,CA_case,0,2,,baure1880[56],1880
131,Baure,CA_case,1,2,,baure2007[116],2007
132,Baure,CA_head,1,2,,baure2007[174-176],2007
133,Baure,CA_head,NA,NA,,baure1880,1880
134,Baure,CA_wordorder,1,NA,,baure1880,1880
135,Baure,CA_wordorder,1,2,,baure2007[333],2007
136,Baure,Cases,0,2,,baure1880[56],1880
137,Baure,Cases,0,2,,baure2007[116],2007
138,Baure,ClassGen,0,NA,,baure1880,1880
139,Baure,ClassGen,0,NA,,baure2007,2007
140,Baure,ClassNoun,1,2,,baure1880[2],1880
141,Baure,ClassNoun,1,2,,baure2007[116  y 127],2007
142,Baure,ClassNum,0,NA,,baure1880,1880
143,Baure,ClassNum,1,2,,baure2007[139],2007
144,Baure,Consonants,13,2,Mentions that situation of glottal stop is unclear - and does not count it – Mencionan que la glotal es un caso crítico - así que no la cuento,baure2007[39],2007
145,Baure,Consonants,NA,NA,,baure1880,1880
146,Baure,Dem,7,2,,baure2007[312-316],2007
147,Baure,Dem,10,2,,baure1880[3],1880
148,Baure,DitransMarking,0,2,,baure2007[336],2007
149,Baure,DitransMarking,NA,NA,,baure1880,1880
150,Baure,Evid,1,2,,baure2007[376],2007
151,Baure,Evid,NA,NA,,baure1880,1880
152,Baure,GenN,N Gen,2,,baure2007[126],2007
153,Baure,GenN,NA,NA,,baure1880,1880
154,Baure,InstrCom,NA,NA,,baure1880,1880
155,Baure,InstrCom,NA,NA,,baure2007,2007
156,Baure,LocDir,1,2,,baure2007[86],2007
157,Baure,LocDir,NA,NA,,baure1880,1880
158,Baure,MorphCaus,1,2,,baure2007[217],2007
159,Baure,MorphCaus,NA,NA,,baure1880,1880
160,Baure,NP_Agr,0,1,,baure1880[2],1880
161,Baure,NP_Agr,1,2,Through classifier,baure2007[157],2007
162,Baure,NasVowels,0,2,,baure2007[33],2007
163,Baure,NasVowels,NA,NA,,baure1880,1880
164,Baure,NomAlign,neuter,2,,baure1880[56],1880
165,Baure,NomAlign,nominative-accusative,2,,baure2007[116],2007
166,Baure,Poss,0,2,,baure2007[31],2007
167,Baure,Poss,NA,NA,,baure1880,1880
168,Baure,Pron1P,2,2,,baure2007[319],2007
169,Baure,Pron1P,4,2,,baure1880[56],1880
170,Baure,Pron2P,2,2,,baure2007[319],2007
171,Baure,Pron2P,4,2,,baure1880[56],1880
172,Baure,Pron3P,3,2,,baure2007[319],2007
173,Baure,Pron3P,6,2,,baure1880[3],1880
174,Baure,PronAlign,neuter,2,,baure1880[56],1880
175,Baure,PronAlign,neuter,2,,baure2007[319],2007
176,Baure,Questions,1,2,,baure2007[349],2007
177,Baure,Questions,NA,NA,,baure1880,1880
178,Baure,TA_marks,4,2,,"baure1880[68,70]",1880
179,Baure,TA_marks,9,2,,baure2007[218],2007
180,Baure,TempLoc,NA,NA,,baure1880,1880
181,Baure,TempLoc,NA,NA,,baure2007,2007
182,Baure,Tones,0,2,,baure2007[33],2007
183,Baure,Tones,NA,NA,,baure1880,1880
184,Baure,VP_Agr,1,2,,baure2007[175],2007
185,Baure,VP_Agr,NA,NA,,baure1880,1880
186,Baure,Vowels,4,2,,baure2007[33],2007
187,Baure,Vowels,NA,NA,,baure1880,1880
188,Carijona,AdjN,Adj N,2,,carijona1908[958],1908
189,Carijona,AdjN,NA,NA,not discussed and no examples,carijona2000,2000
190,Carijona,BasicWO,SOV,2,SOV - sometimes OVS,carijona1908[955],1908
191,Carijona,BasicWO,SOV,2,OV at the center of typology in this language - Subject can vary to some degree,carijona2000[ 174],2000
192,Carijona,CA_case,0,2,no case marking,carijona1908[955],1908
193,Carijona,CA_case,0,2,,carijona2000[ 173],2000
194,Carijona,CA_head,1,2,Ergative – Ergativo,carijona1908[976],1908
195,Carijona,CA_head,1,2,Switch to Nom-Acc in most persons,carijona2000[ 173],2000
196,Carijona,CA_wordorder,0,2,cross-referencing,carijona1908[955],1908
197,Carijona,CA_wordorder,0,2,OV as basic order,carijona2000[ 175],2000
198,Carijona,Cases,0,1,“No hay caso” / “there is no case” - but he gives a list of oblique postpositiones,carijona1908[959],1908
199,Carijona,Cases,2,2,only dative and comitative as bound forms: “Las demás postposiciones parecen no participar de la prefija­ción de morfemas de persona. “ ,carijona2000[ 175],2000
200,Carijona,ClassGen,0,2,No marking of possession,carijona1908,1908
201,Carijona,ClassGen,0,1,,carijona2000,2000
202,Carijona,ClassNoun,1,1,“no hay evidencia de genéro” / “there is no evidence of gender” – and then gives various examples of noun classifiers; possibly compounds?,carijona1908[957],1908
203,Carijona,ClassNoun,1,1,Grammatical process for noun determination modificating its reference - “ Los procesos gramaticales propios del nombre son los de determinación. Ladeterminación permite a un nombre modificar su referencia; puedeasí remitir a la generalidad la clase de las entidades que denota hasta llegar a referir a una sola entidad dentro de la clase.”,carijona2000[ 174],2000
204,Carijona,ClassNum,0,2,,carijona1908,1908
205,Carijona,ClassNum,0,2,,carijona2000,2000
206,Carijona,Consonants,14,2,/ d / lost for others there are phonological rules which do not count as distinctive features,carijona2000[ 172],2000
207,Carijona,Consonants,20,1,18 + 2 glides,carijona1908[90],1908
208,Carijona,Dem,2,2,,carijona1908[972],1908
209,Carijona,Dem,NA,NA,not mentioned,carijona2000,2000
210,Carijona,DitransMarking,1,2,postpositions for beneficiary,carijona1908[960],1908
211,Carijona,DitransMarking,1,2,dative (-dza),carijona2000[ 175],2000
212,Carijona,Evid,0,NA,not discussed,carijona1908,1908
213,Carijona,Evid,0,NA,not discussed,carijona2000,2000
214,Carijona,GenN,Gen N,2,Unmarked - modifier-head – Sin marca - pero es “Modificador – Head”,carijona1908[955],1908
215,Carijona,GenN,NA,NA,No comment,carijona2000,2000
216,Carijona,InstrCom,1,2,Comitativo: -mate; Instrumental: -ke,carijona1908[961],1908
217,Carijona,InstrCom,1,2,,carijona2000[ 175],2000
218,Carijona,LocDir,1,2,,carijona1908[959],1908
219,Carijona,LocDir,1,2,,carijona2000[ 175],2000
220,Carijona,MorphCaus,0,NA,No comment,carijona1908,1908
221,Carijona,MorphCaus,1,2,two forms exist,carijona2000[ 174],2000
222,Carijona,NP_Agr,NA,NA,no Adj-N constructions with plural,carijona1908,1908
223,Carijona,NP_Agr,NA,NA,no adjectives mentioned in text,carijona2000,2000
224,Carijona,NasVowels,0,1,not mentioned,carijona2000[ 172],2000
225,Carijona,NasVowels,5,2,“las nasalizaciones son escasaz” / “scarce nasalizations”,carijona1908[89],1908
226,Carijona,NomAlign,neuter,2,erg-abs lost on the verbal marking,carijona1908[976],1908
227,Carijona,NomAlign,neuter,2,only marked on verb,carijona2000[ 173],2000
228,Carijona,Poss,1,2,“a punto de perderse” / “at the point of being lost”,carijona1908[970],1908
229,Carijona,Poss,1,2,Not lost,carijona2000[ 175],2000
230,Carijona,Pron1P,2,1,Incl/excl not discussed / no informa sobre inclusivo/exclusivo,carijona1908[ 969],1908
231,Carijona,Pron1P,3,1,inclusive/exclusive form - but none for 2pl,carijona2000[ 174],2000
232,Carijona,Pron2P,1,1,Some confusion in Koch-Grünberg – Las formas de 2pl de Koch-Grünberg y de 1excl. tienen cierta correspondencia - probablemente la misma forma,carijona2000[ 174],2000
233,Carijona,Pron2P,2,1,,carijona1908[ 969],1908
234,Carijona,Pron3P,2,2,,carijona1908[ 969],1908
235,Carijona,Pron3P,2,2,,carijona2000[ 174],2000
236,Carijona,PronAlign,neuter,2,only cross-referencing,carijona1908[976],1908
237,Carijona,PronAlign,neuter,2,same form for both Nom-Acc,carijona2000[ 173],2000
238,Carijona,Questions,NA,NA,not discussed,carijona1908,1908
239,Carijona,Questions,NA,NA,not discussed,carijona2000,2000
240,Carijona,TA_marks,6,2,-he - -ta - -ka - -ne - -i - t...-se,carijona1908[973],1908
241,Carijona,TA_marks,6,2,no holistic list but additional cases (those of Koch-Grünberg) in appendix text,carijona2000[ 177],2000
242,Carijona,TempLoc,NA,NA,not discussed,carijona1908,1908
243,Carijona,TempLoc,NA,NA,not mentioned,carijona2000,2000
244,Carijona,Tones,0,NA,No comment,carijona1908,1908
245,Carijona,Tones,0,NA,No comment,carijona2000,2000
246,Carijona,VP_Agr,1,2,,carijona1908[973],1908
247,Carijona,VP_Agr,1,2,,carijona2000[ 173],2000
248,Carijona,Vowels,7,2,phonological rules which explain the difference - except for /d/ - which is lost,carijona2000[ 172],2000
249,Carijona,Vowels,13,1,counting nasal vowels,carijona1908[89],1908
250,CentralOkinawa,AdjN,N Adj,2,,okinawa2015[387],2015
251,CentralOkinawa,AdjN,NA,NA,,okinawa1963,1963
252,CentralOkinawa,BasicWO,SOV,1,Examples indicate a nom-acc system,okinawa2015,2015
253,CentralOkinawa,BasicWO,NA,NA,,okinawa1963,1963
254,CentralOkinawa,CA_case,1,2,,okinawa2015[391],2015
255,CentralOkinawa,CA_case,NA,NA,,okinawa1963,1963
256,CentralOkinawa,CA_head,0,2,,okinawa2015[391],2015
257,CentralOkinawa,CA_head,NA,NA,,okinawa1963,1963
258,CentralOkinawa,CA_wordorder,1,1,Examples indicate a nom-acc system,okinawa2015,2015
259,CentralOkinawa,CA_wordorder,NA,NA,,okinawa1963,1963
260,CentralOkinawa,Cases,NA,NA,,okinawa1963,1963
261,CentralOkinawa,Cases,NA,NA,,okinawa2015,2015
262,CentralOkinawa,ClassGen,0,NA,,okinawa1963,1963
263,CentralOkinawa,ClassGen,0,NA,,okinawa2015,2015
264,CentralOkinawa,ClassNoun,0,NA,,okinawa2015,2015
265,CentralOkinawa,ClassNoun,1,2,,okinawa1963[113],1963
266,CentralOkinawa,ClassNum,0,NA,,okinawa1963,1963
267,CentralOkinawa,ClassNum,0,NA,,okinawa2015,2015
268,CentralOkinawa,Consonants,19,2,,okinawa2015[379],2015
269,CentralOkinawa,Consonants,24,2,,okinawa1963[5],1963
270,CentralOkinawa,Dem,NA,NA,,okinawa1963,1963
271,CentralOkinawa,Dem,NA,NA,,okinawa2015,2015
272,CentralOkinawa,DitransMarking,NA,NA,,okinawa1963,1963
273,CentralOkinawa,DitransMarking,NA,NA,,okinawa2015,2015
274,CentralOkinawa,Evid,2,2,,okinawa2015[398],2015
275,CentralOkinawa,Evid,NA,NA,,okinawa1963,1963
276,CentralOkinawa,GenN,Gen N,2,,okinawa2015[387],2015
277,CentralOkinawa,GenN,NA,NA,,okinawa1963,1963
278,CentralOkinawa,InstrCom,NA,NA,,okinawa1963,1963
279,CentralOkinawa,InstrCom,NA,NA,,okinawa2015,2015
280,CentralOkinawa,LocDir,NA,NA,,okinawa1963,1963
281,CentralOkinawa,LocDir,NA,NA,,okinawa2015,2015
282,CentralOkinawa,MorphCaus,1,2,,okinawa1963[169],1963
283,CentralOkinawa,MorphCaus,1,2,,okinawa2015[397],2015
284,CentralOkinawa,NP_Agr,0,2,,okinawa2015[387-388],2015
285,CentralOkinawa,NP_Agr,NA,NA,,okinawa1963,1963
286,CentralOkinawa,NasVowels,0,2,,okinawa1963[5],1963
287,CentralOkinawa,NasVowels,0,2,,okinawa2015[379],2015
288,CentralOkinawa,NomAlign,nominative-accusative,2,,okinawa2015[391],2015
289,CentralOkinawa,NomAlign,NA,NA,,okinawa1963,1963
290,CentralOkinawa,Poss,NA,NA,,okinawa1963,1963
291,CentralOkinawa,Poss,NA,NA,,okinawa2015,2015
292,CentralOkinawa,Pron1P,2,2,,okinawa1963[105],1963
293,CentralOkinawa,Pron1P,3,2,,okinawa2015[387],2015
294,CentralOkinawa,Pron2P,4,2,,okinawa1963[105],1963
295,CentralOkinawa,Pron2P,4,2,,okinawa2015[387],2015
296,CentralOkinawa,Pron3P,2,2,,okinawa2015[387],2015
297,CentralOkinawa,Pron3P,12,2,,okinawa1963[105],1963
298,CentralOkinawa,PronAlign,neuter,1,Not marked on pronouns – Parece que no marca RG en los pronombres,okinawa1963,1963
299,CentralOkinawa,PronAlign,neuter,1,Not marked on pronouns – Parece que no marca RG en los pronombres,okinawa2015,2015
300,CentralOkinawa,Questions,1,2,,okinawa2015[395-396],2015
301,CentralOkinawa,Questions,NA,NA,,okinawa1963,1963
302,CentralOkinawa,TA_marks,3,2,,okinawa1963[60],1963
303,CentralOkinawa,TA_marks,4,2,,okinawa2015[384-385],2015
304,CentralOkinawa,TempLoc,0,2,Temporal locative mared through particle - El locativo temporal es una partícula,okinawa2015[391],2015
305,CentralOkinawa,TempLoc,NA,NA,,okinawa1963,1963
306,CentralOkinawa,Tones,1,2,,okinawa1963[7],1963
307,CentralOkinawa,Tones,NA,NA,,okinawa2015,2015
308,CentralOkinawa,VP_Agr,0,2,,okinawa1963[59],1963
309,CentralOkinawa,VP_Agr,0,2,,okinawa2015[384-385],2015
310,CentralOkinawa,Vowels,5,2,,okinawa1963[5],1963
311,CentralOkinawa,Vowels,6,2,,okinawa2015[379],2015
312,Chontal,AdjN,Adj N,2,"Adjectives ""usually"" precede the modified noun.",chontal2004[71],2004
313,Chontal,AdjN,both,1,,chontal1967,1967
314,Chontal,BasicWO,no basic word order,2,,chontal1967[357],1967
315,Chontal,BasicWO,no basic word order,2,,chontal2004[1],2004
316,Chontal,CA_case,NA,NA,,chontal1967,1967
317,Chontal,CA_case,NA,NA,,chontal2004,2004
318,Chontal,CA_head,1,NA,,chontal1967[354],1967
319,Chontal,CA_head,NA,NA,,chontal2004,2004
320,Chontal,CA_wordorder,0,NA,Free word order – El orden de palabras es libre.,chontal2004,2004
321,Chontal,CA_wordorder,NA,NA,,chontal1967,1967
322,Chontal,Cases,0,NA,,chontal1967[356-358],1967
323,Chontal,Cases,0,NA,no case marking,chontal2004[98],2004
324,Chontal,ClassGen,0,1,,chontal1967,1967
325,Chontal,ClassGen,0,1,,chontal2004,2004
326,Chontal,ClassNoun,0,1,,chontal1967,1967
327,Chontal,ClassNoun,0,1,"lexical gender; somestimes - “man” and “woman” are used to specify gender on animates – El género suele ser léxico. A veces se usan los lexemas""hombre"" y ""mujer"" para especificar género pero no existe un mrofema dedicado a femenino - masculino o neutro.",chontal2004,2004
328,Chontal,ClassNum,1,1,,chontal1967[357-358],1967
329,Chontal,ClassNum,1,2,Diverse set of pluralizing strategies: infixes - intonation - suffixes - etc – Se consignan diversas estrategias pluralizadoras: infijación - acento - sufijación - etc.,chontal2004[43],2004
330,Chontal,Consonants,35,2,,chontal1967[351],1967
331,Chontal,Consonants,42,2,Author considers various dialects - while previous description is only one variety – La autora considera variaciones dialectales. La descripción anterior es de solo una variedad.,chontal2004[35-36],2004
332,Chontal,Dem,8,1,Deicticts are compounded with two forms (circumfixes) - also have pronominal function – Se consigna a los deícticos como compuestos por dos partes. Aparentan ser cicunfijos. Estos deícticos tienen funciones pronominales.,chontal1967[357],1967
333,Chontal,Dem,8,1,Demonstratives are clitics – Según la autora - los demostrativos forman parte del inventario de clíticos.,chontal2004[68],2004
334,Chontal,DitransMarking,0,1,,chontal2004[47],2004
335,Chontal,DitransMarking,NA,NA,,chontal1967,1967
336,Chontal,Evid,0,1,not mentioned,chontal1967[356],1967
337,Chontal,Evid,1,1,No forms explicitly for evidentiality – No existen formas dedicadas específicamente a la evidencialidad. Sin embargo - la lengua utiliza los verbos auxiliares en primera persona del perfectivo para codificar certeza de la información brindada.,chontal2004[82],2004
338,Chontal,GenN,Gen N,1,,chontal1967[357],1967
339,Chontal,GenN,Gen N,2,,chontal2004[57],2004
340,Chontal,InstrCom,NA,NA,,chontal1967,1967
341,Chontal,InstrCom,NA,NA,,chontal2004,2004
342,Chontal,LocDir,1,1,,chontal1967[359],1967
343,Chontal,LocDir,1,2,,chontal2004[64],2004
344,Chontal,MorphCaus,0,1,Lexical,chontal1967[361],1967
345,Chontal,MorphCaus,1,2,,chontal2004[55-56],2004
346,Chontal,NP_Agr,0,1,,chontal1967,1967
347,Chontal,NP_Agr,0,2,,chontal2004[72],2004
348,Chontal,NasVowels,0,2,,chontal1967[351],1967
349,Chontal,NasVowels,0,2,,chontal2004[35-36],2004
350,Chontal,NomAlign,active-inactive,NA,,chontal2004,2004
351,Chontal,NomAlign,nominative-accusative,1,"Core case is not marked - but author states that intransitive verbs do not marke agent - and transitive verbs mark the object! – Si bien no se marcan los core cases ni los oblicuos - en la página referida - el autor sostiene que los verbos intransitivos ""no marcan agente"" mientras que los transitivos ""no marcan el sujeto pero si amrcan el objeto""",chontal1967[354],1967
352,Chontal,Poss,0,1,,chontal1967[357],1967
353,Chontal,Poss,0,2,,chontal2004[40],2004
354,Chontal,Pron1P,2,1,Authir argues that presence of pronoun implies exclusion - and absence inclusion – El autor sostiene que en cuanto a la primera persona plural - la presencia de ese pronombre codifica exclusión mientras que su ausencia codifica inclusión.,chontal1967[357],1967
